"","logFC","logCPM","PValue","FDR"
"GRIA2|2891",2.24468639050537,-1.65136289053685,3.29434846930177e-101,2.75223661421388e-99
"ATCAY|85300",-3.02872762523602,-1.04929806307609,7.3125897208386e-101,6.08096002618995e-99
"CPS1|1373",1.94654121601678,6.37186326228889,7.39010278198014e-101,6.11709798018098e-99
"PTCHD2|57540",2.04571262794757,-0.282715764026937,1.47926604686582e-100,1.21883379512862e-98
"TAAR1|134864",2.17994543815997,-1.37342405462859,2.11708903191208e-100,1.73639968909611e-98
"SLC4A10|57282",2.3019862487255,-1.80863860892147,4.04796105666769e-100,3.30497620453932e-98
"FABP1|2168",1.93805687135224,3.86505397840986,2.8482562827689e-99,2.31494929190475e-97
"KCNA1|3736",-3.39012295950905,-1.72328184166729,5.51885378518748e-99,4.46529962565484e-97
"FAM181A|90050",-2.87134067589686,-0.804719308532294,1.45109966924239e-97,1.16881848694761e-95
"SLC1A6|6511",-2.74366912396755,-0.605475397377025,5.5365733798155e-97,4.43963977893955e-95
"SLC22A11|55867",2.12405420695971,-1.14092813686457,8.71218836524686e-97,6.95503677406951e-95
"ATP4B|496",-2.38303911756985,1.60751128111024,1.65864986762018e-96,1.31825968682272e-94
"RBM46|166863",-2.9317357681811,-1.03956725788047,2.33074665515741e-96,1.84426746343337e-94
"PCSK1|5122",1.91326325994654,3.03390997616318,2.46296168064525e-96,1.94033849595395e-94
"TKTL1|8277",-2.36088221873409,2.17155775620902,4.92376430927096e-96,3.8620373154203e-94
"CASP14|23581",1.90166266258542,3.02568781630384,3.91515358093033e-95,3.05756472263785e-93
"GPM6A|2823",-2.3536261438857,1.88663972595744,4.63156945443332e-95,3.60139612729573e-93
"CDH22|64405",-2.37297267275971,1.49781790876082,7.44166323369889e-94,5.7615153018836e-92
"KRT81|3887",-2.36465988293045,2.7663129284129,1.02564713539128e-93,7.90672697248848e-92
"LCE3D|84648",1.87703905271855,4.39379495486612,2.82819250301414e-93,2.17093990338205e-91
"NGFR|4804",-2.29343746480764,5.26906596961337,4.2535594644031e-93,3.25116745104717e-91
"C2CD4B|388125",1.87678742804807,3.47804572275804,6.77835866550268e-93,5.15902026905759e-91
"JPH4|84502",-2.53903257172961,0.00439016802067508,1.84828519606299e-92,1.4007974131512e-90
"PAGE4|9506",2.22977484167221,-2.13697349418831,7.24651686004506e-91,5.46898890084577e-89
"KIR3DL2|3812",-3.21550766531751,-1.72597994545183,1.19602532023192e-90,8.98870577489779e-89
"MUC12|10071",1.84730116494298,4.47271725156388,1.5187087052788e-90,1.13662690684241e-88
"THPO|7066",2.00450212886805,-0.885341086998098,1.57338080308095e-90,1.17265833962407e-88
"PHOX2A|401",-3.86917136481989,-2.42873642001384,2.13912783226216e-90,1.58772785632615e-88
"FOXI3|344167",-2.5102918372601,-0.229322592573417,3.79606583127426e-90,2.80596438112544e-88
"TFAP2B|7021",-2.74794738834345,-0.731562546769494,6.60982308720133e-90,4.86580501197993e-88
"KIRREL2|84063",1.91199054503303,0.150548483376614,7.02747230945737e-90,5.15214112744789e-88
"LRFN2|57497",2.08763497137475,-1.29364095777095,9.15214717289939e-90,6.68255559022841e-88
"PAGE5|90737",1.91927410186985,-0.217723083546824,1.11347183810296e-89,8.09723933441516e-88
"C3P1|388503",1.92569039160616,0.0558573651044101,2.24922360706621e-89,1.62905461411787e-87
"ZP4|57829",-3.10106904954037,-1.55690517562528,2.54828438424848e-89,1.8382443417619e-87
"DLK1|8788",-3.88350010404983,-2.2663312672325,1.02953735526347e-88,7.39701999009701e-87
"CDH4|1002",-2.32835247638907,0.480066050184507,1.67266786125695e-88,1.19699044318316e-86
"L1TD1|54596",-2.49314155055521,-0.361029325010457,3.7889316462569e-88,2.70066627897089e-86
"ADIPOQ|9370",-4.08914229349275,-2.55662591334661,4.84293870600391e-88,3.43829506076056e-86
"LOC389332|389332",1.87138397833718,0.831853229094604,7.55289475078357e-88,5.34114549266041e-86
"DSC1|1823",1.82339370473955,3.59221990377091,1.05359609005037e-87,7.42144822332734e-86
"GAGE2D|729408",-2.2223925189121,2.54816104183279,1.87818713523968e-87,1.31781239543653e-85
"CCKAR|886",-2.97713768226706,-1.55942209206303,2.11691639697906e-87,1.47953510982638e-85
"SLC2A2|6514",-2.23839670829482,1.09866957174606,2.51102027670618e-87,1.74817620969753e-85
"SLC18A3|6572",-2.29064876968304,0.374182462763292,2.59894280529621e-87,1.80240195632165e-85
"KRT77|374454",-2.4383385365875,-0.0283257818584495,1.21143769915933e-86,8.3691707508846e-85
"OR51E1|143503",1.83472500006013,1.36049988428315,3.16834156335828e-86,2.18045023605523e-84
"PAGE1|8712",2.35834002940543,-2.76123046866462,5.78558760653746e-86,3.96643986979488e-84
"TUBA3E|112714",-2.61677558221034,-1.04871834412772,6.37389321130253e-86,4.35315094530099e-84
"RANBP3L|202151",-2.82801132965198,-1.47860918795063,2.54380662091747e-85,1.73075206533786e-83
"TNNC1|7134",1.83931235488884,0.67048484646695,7.71685936548256e-85,5.23057463859614e-83
"ALX4|60529",-2.46124803868456,-0.449501776645386,1.68431507682306e-84,1.13735591766526e-82
"VSTM2B|342865",3.04441796462788,-3.58460131130768,2.02524577656777e-84,1.36245185912772e-82
"KCNQ2|3785",1.95118807863842,-0.888816736255205,2.58191022647544e-84,1.73045789134149e-82
"AIRE|326",-2.77045065994611,-1.40243709700388,2.86562364196353e-84,1.91346958576018e-82
"SPINK6|404203",1.81047861408506,1.88943965149605,5.84894866337302e-84,3.89106725524097e-82
"NECAB2|54550",-2.39233538187716,-0.138207821164747,1.21575135240845e-83,8.05805379777144e-82
"KCNC2|3747",2.6390022830254,-3.12337189952315,3.59512178916513e-83,2.37410211680088e-81
"ST6GAL2|84620",-2.15622267171225,2.57052861399552,6.32527153408739e-83,4.16170429653032e-81
"LRAT|9227",-2.13593371722071,3.37364778714184,4.74163765530418e-82,3.10836845126181e-80
"KCNJ3|3760",1.7885955600816,1.39704952601782,7.82302920205595e-82,5.10971820099378e-80
"KIAA1751|85452",-2.16156027709601,1.20333816184243,8.22928102376322e-82,5.35559223727663e-80
"PRMT8|56341",-3.11019727305488,-2.09555479137699,2.32230051939388e-81,1.50589032235931e-79
"CALB1|793",-2.11356489201503,4.58869260250354,4.69942247190722e-81,3.03636785756826e-79
"HAND2|9464",-2.16797042649595,1.0608096842788,9.972909655587e-81,6.42055208722773e-79
"CHIT1|1118",-2.11098326744911,3.59782394153497,1.21836962846921e-80,7.81584116662997e-79
"DNAH11|8701",-2.14110965010133,1.30342355965607,1.23919659638531e-80,7.9211563218053e-79
"GABBR2|9568",1.83736006885687,-0.195796717287523,2.26947658965435e-80,1.44554391855927e-78
"SHISA9|729993",-2.19788145531204,0.561435097062069,2.79173169999007e-80,1.77191112350606e-78
